PARAMETERNAMN,UNIK_PARAMETERKOD,PROV_KOD_ORIGINAL,RAPPORT_KOD_LABB,LABB,UTFOR_LABB,ORGAN,MATVARDETEXT,MATVARDETAL,MATVARDETAL_ANM,ENHET,MATV_STD,RAPPORTERINGSGRANS_LOQ,DETEKTIONSGRANS_LOD,MATOSAKERHET,MATOSAKERHET_ENHET,MATOSAKERHET_TYP,MATVARDESPAR,DATUM_REG,PROV_LAGR,PROV_BERED,PROVKARL,ANALYS_DAT,ANALYS_MET,ACKREDITERAD_MET,ANALYS_INSTR,KOMMENTAR_MATVARDE
"3,3',4,4'-Tetraklorbifenyl (PCB77)",CH07/260,C1978/08134-08143,C1978/08134-08143 002s104,UMU,,MUSKEL,,155.3,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"3,3',4,4',5-Pentaklorbifenyl (PCB126)",CH07/258,C1978/08134-08143,C1978/08134-08143 002s104,UMU,,MUSKEL,,740.4,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"3,3',4,4',5,5'-Hexaklorbifenyl (PCB169)",CH07/256,C1978/08134-08143,C1978/08134-08143 002s104,UMU,,MUSKEL,,123.4,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,3,3',4,4'-Pentaklorobifenyl (PCB105)",CH07/175,C1978/08134-08143,C1978/08134-08143 002s104,UMU,,MUSKEL,,88511,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,3',4,4',5-Pentaklorbifenyl (PCB118)",CH07/185,C1978/08134-08143,C1978/08134-08143 002s104,UMU,,MUSKEL,,342766,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1978/08141,C1978/08141 NA,NRM,,HELKROPP,,1050,"",g,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1978/08141,C1978/08141 790254,NSL,,MUSKEL,,0.45,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1978/08142,C1978/08142 NA,NRM,,HELKROPP,,830,"",g,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1978/08142,C1978/08142 790255,NSL,,MUSKEL,,0.53,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08482,C1979/08482 NA,NRM,,HELKROPP,,1920,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08482,C1979/08482 NA,NRM,,HELKROPP,,64,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08482,C1979/08482 NA,NRM,,HELKROPP,,4,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1979/08482,C1979/08482 2483-M038,ITMLAM,,MUSKEL,,22.6,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1979/08482,C1979/08482 2483-M038,ITMM,,MUSKEL,,280,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08482,C1979/08482 810481,NSL,,MUSKEL,,0.59,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1979/08482,C1979/08482 2483-L038,ITMLAM,,LEVER,,30.6,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1979/08482,C1979/08482 2483-L038,ITMM,,LEVER,,0.11,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1979/08482,C1979/08482 2483-L038,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1979/08482,C1979/08482 2483-L038,ITMM,,LEVER,,9.23,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1979/08482,C1979/08482 2483-L038,ITMM,,LEVER,,66,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1979/08482,C1979/08482 2483-L038,ITMM,,LEVER,,0.085,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1979/08482,C1979/08482 2483-L038,ITMM,,LEVER,,0.03,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08483,C1979/08483 NA,NRM,,HELKROPP,,300,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08483,C1979/08483 NA,NRM,,HELKROPP,,34,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08483,C1979/08483 NA,NRM,,HELKROPP,,1,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1979/08483,C1979/08483 2483-M039,ITMLAM,,MUSKEL,,21.1,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1979/08483,C1979/08483 2483-M039,ITMM,,MUSKEL,,148,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08483,C1979/08483 810482,NSL,,MUSKEL,,0.73,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1979/08483,C1979/08483 2483-L039,ITMLAM,,LEVER,,31.5,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1979/08483,C1979/08483 2483-L039,ITMM,,LEVER,,0.1,<,ug.g-1.tv-1,q,0.1,,,,,Ja,,FRYST,,,,,,,
Nickel,CH01/123,C1979/08483,C1979/08483 2483-L039,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1979/08483,C1979/08483 2483-L039,ITMM,,LEVER,,6.33,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1979/08483,C1979/08483 2483-L039,ITMM,,LEVER,,56,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1979/08483,C1979/08483 2483-L039,ITMM,,LEVER,,0.035,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1979/08483,C1979/08483 2483-L039,ITMM,,LEVER,,0.03,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08484,C1979/08484 NA,NRM,,HELKROPP,,150,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08484,C1979/08484 NA,NRM,,HELKROPP,,29,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08484,C1979/08484 NA,NRM,,HELKROPP,,1,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1979/08484,C1979/08484 2483-M040,ITMLAM,,MUSKEL,,21.1,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1979/08484,C1979/08484 2483-M040,ITMM,,MUSKEL,,133,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08484,C1979/08484 810483,NSL,,MUSKEL,,0.84,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1979/08484,C1979/08484 2483-L040,ITMLAM,,LEVER,,26.4,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1979/08484,C1979/08484 2483-L040,ITMM,,LEVER,,0.1,<,ug.g-1.tv-1,q,0.1,,,,,Ja,,FRYST,,,,,,,
Nickel,CH01/123,C1979/08484,C1979/08484 2483-L040,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1979/08484,C1979/08484 2483-L040,ITMM,,LEVER,,12,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1979/08484,C1979/08484 2483-L040,ITMM,,LEVER,,183,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1979/08484,C1979/08484 2483-L040,ITMM,,LEVER,,0.074,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1979/08484,C1979/08484 2483-L040,ITMM,,LEVER,,0.07,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08485,C1979/08485 NA,NRM,,HELKROPP,,230,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08485,C1979/08485 NA,NRM,,HELKROPP,,31,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08485,C1979/08485 NA,NRM,,HELKROPP,,1,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1979/08485,C1979/08485 2483-M041,ITMLAM,,MUSKEL,,20.8,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1979/08485,C1979/08485 2483-M041,ITMM,,MUSKEL,,140,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08485,C1979/08485 810484,NSL,,MUSKEL,,0.71,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1979/08485,C1979/08485 2483-L041,ITMLAM,,LEVER,,29.8,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1979/08485,C1979/08485 2483-L041,ITMM,,LEVER,,0.1,<,ug.g-1.tv-1,q,0.1,,,,,Ja,,FRYST,,,,,,,
Nickel,CH01/123,C1979/08485,C1979/08485 2483-L041,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1979/08485,C1979/08485 2483-L041,ITMM,,LEVER,,7.42,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1979/08485,C1979/08485 2483-L041,ITMM,,LEVER,,55,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1979/08485,C1979/08485 2483-L041,ITMM,,LEVER,,0.034,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1979/08485,C1979/08485 2483-L041,ITMM,,LEVER,,0.03,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08486,C1979/08486 NA,NRM,,HELKROPP,,160,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08486,C1979/08486 NA,NRM,,HELKROPP,,29,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08486,C1979/08486 NA,NRM,,HELKROPP,,1,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1979/08486,C1979/08486 2483-M042,ITMLAM,,MUSKEL,,21.3,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1979/08486,C1979/08486 2483-M042,ITMM,,MUSKEL,,99,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08486,C1979/08486 810485,NSL,,MUSKEL,,0.83,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1979/08486,C1979/08486 2483-L042,ITMLAM,,LEVER,,28.1,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1979/08486,C1979/08486 2483-L042,ITMM,,LEVER,,0.1,<,ug.g-1.tv-1,q,0.1,,,,,Ja,,FRYST,,,,,,,
Nickel,CH01/123,C1979/08486,C1979/08486 2483-L042,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1979/08486,C1979/08486 2483-L042,ITMM,,LEVER,,13.4,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1979/08486,C1979/08486 2483-L042,ITMM,,LEVER,,222,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1979/08486,C1979/08486 2483-L042,ITMM,,LEVER,,0.054,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1979/08486,C1979/08486 2483-L042,ITMM,,LEVER,,0.02,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08487,C1979/08487 NA,NRM,,HELKROPP,,120,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08487,C1979/08487 NA,NRM,,HELKROPP,,26.5,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08487,C1979/08487 NA,NRM,,HELKROPP,,1,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1979/08487,C1979/08487 2483-M043,ITMLAM,,MUSKEL,,20.6,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1979/08487,C1979/08487 2483-M043,ITMM,,MUSKEL,,108,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08487,C1979/08487 810486,NSL,,MUSKEL,,0.74,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1979/08487,C1979/08487 2483-L043,ITMLAM,,LEVER,,29.9,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1979/08487,C1979/08487 2483-L043,ITMM,,LEVER,,0.1,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1979/08487,C1979/08487 2483-L043,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1979/08487,C1979/08487 2483-L043,ITMM,,LEVER,,10.7,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1979/08487,C1979/08487 2483-L043,ITMM,,LEVER,,183,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1979/08487,C1979/08487 2483-L043,ITMM,,LEVER,,0.075,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1979/08487,C1979/08487 2483-L043,ITMM,,LEVER,,0.03,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08488,C1979/08488 NA,NRM,,HELKROPP,,140,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08488,C1979/08488 NA,NRM,,HELKROPP,,28,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08488,C1979/08488 NA,NRM,,HELKROPP,,1,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1979/08488,C1979/08488 2483-M044,ITMLAM,,MUSKEL,,21.1,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1979/08488,C1979/08488 2483-M044,ITMM,,MUSKEL,,124,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08488,C1979/08488 810487,NSL,,MUSKEL,,0.72,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1979/08488,C1979/08488 2483-L044,ITMLAM,,LEVER,,26.2,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1979/08488,C1979/08488 2483-L044,ITMM,,LEVER,,0.1,<,ug.g-1.tv-1,q,0.1,,,,,Ja,,FRYST,,,,,,,
Nickel,CH01/123,C1979/08488,C1979/08488 2483-L044,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1979/08488,C1979/08488 2483-L044,ITMM,,LEVER,,8.32,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1979/08488,C1979/08488 2483-L044,ITMM,,LEVER,,151,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1979/08488,C1979/08488 2483-L044,ITMM,,LEVER,,0.054,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1979/08488,C1979/08488 2483-L044,ITMM,,LEVER,,0.02,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08583,C1979/08583 NA,NRM,,HELKROPP,,2025,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08583,C1979/08583 NA,NRM,,HELKROPP,,65,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08583,C1979/08583 NA,NRM,,HELKROPP,,5,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08583,C1979/08583 810469,NSL,,MUSKEL,,0.61,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08584,C1979/08584 NA,NRM,,HELKROPP,,1685,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08584,C1979/08584 NA,NRM,,HELKROPP,,63,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08584,C1979/08584 NA,NRM,,HELKROPP,,4,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08584,C1979/08584 810470,NSL,,MUSKEL,,0.54,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1979/08584,C1979/08584 P79/8584.0.916.990422,NUL,,MUSKEL,,450,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08585,C1979/08585 NA,NRM,,HELKROPP,,1235,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08585,C1979/08585 NA,NRM,,HELKROPP,,56.5,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08585,C1979/08585 NA,NRM,,HELKROPP,,3,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08585,C1979/08585 810471,NSL,,MUSKEL,,0.65,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1979/08585,C1979/08585 P79/8585.0.904.990422,NUL,,MUSKEL,,340,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08586,C1979/08586 NA,NRM,,HELKROPP,,1100,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08586,C1979/08586 NA,NRM,,HELKROPP,,54,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08586,C1979/08586 NA,NRM,,HELKROPP,,3,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08586,C1979/08586 810472,NSL,,MUSKEL,,0.68,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08587,C1979/08587 NA,NRM,,HELKROPP,,1100,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08587,C1979/08587 NA,NRM,,HELKROPP,,53.5,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08587,C1979/08587 NA,NRM,,HELKROPP,,3,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08587,C1979/08587 810473,NSL,,MUSKEL,,0.58,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08588,C1979/08588 NA,NRM,,HELKROPP,,1260,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08588,C1979/08588 NA,NRM,,HELKROPP,,55,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08588,C1979/08588 NA,NRM,,HELKROPP,,4,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08588,C1979/08588 810474,NSL,,MUSKEL,,0.67,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1979/08588,C1979/08588 P79/8588.0.944.990422,NUL,,MUSKEL,,340,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08589,C1979/08589 NA,NRM,,HELKROPP,,2610,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08589,C1979/08589 NA,NRM,,HELKROPP,,71,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08589,C1979/08589 NA,NRM,,HELKROPP,,4,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08589,C1979/08589 810475,NSL,,MUSKEL,,0.77,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1979/08589,C1979/08589 P79/8589.0.926.990422,NUL,,MUSKEL,,380,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08590,C1979/08590 NA,NRM,,HELKROPP,,2310,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08590,C1979/08590 NA,NRM,,HELKROPP,,59,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08590,C1979/08590 NA,NRM,,HELKROPP,,4,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08590,C1979/08590 810476,NSL,,MUSKEL,,0.7,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08591,C1979/08591 NA,NRM,,HELKROPP,,1750,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08591,C1979/08591 NA,NRM,,HELKROPP,,62.5,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08591,C1979/08591 NA,NRM,,HELKROPP,,3,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08591,C1979/08591 810477,NSL,,MUSKEL,,0.55,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1979/08592,C1979/08592 NA,NRM,,HELKROPP,,5500,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1979/08592,C1979/08592 NA,NRM,,HELKROPP,,97,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder,CH12/239,C1979/08592,C1979/08592 NA,NRM,,HELKROPP,,7,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08592,C1979/08592 810478,NSL,,MUSKEL,,0.37,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1979/08592,C1979/08592 P79/8592.0.920.990422,NUL,,MUSKEL,,640,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt (medelvärde),CH12/234,C1979/08480-08488,C1979/08480-08488 NA,NRM,,HELKROPP,,816,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd (medelvärde),CH12/163,C1979/08480-08488,C1979/08480-08488 NA,NRM,,HELKROPP,,41.8,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder (medelvärde),CH12/241,C1979/08480-08488,C1979/08480-08488 NA,NRM,,HELKROPP,,2.7,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1979/08480-08488,C1979/08480-08488 002s081,UMU,,MUSKEL,,0.78,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
"2,3,7,8-Tetraklordibensofuran (2,3,7,8-TCDF)",CH07/214,C1979/08480-08488,C1979/08480-08488 002s081,UMU,,MUSKEL,,24.4,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,3,7,8-Tetraklordibenso-p-dioxin (2,3,7,8-TCDD)",CH07/215,C1979/08480-08488,C1979/08480-08488 002s081,UMU,,MUSKEL,,6.4,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"1,2,3,7,8-Pentaklordibensofuran (1,2,3,7,8-PeCDF)",CH07/60,C1979/08480-08488,C1979/08480-08488 002s081,UMU,,MUSKEL,,6.4,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,3,4,7,8-Pentaklordibensofuran (2,3,4,7,8-PeCDF)",CH07/197,C1979/08480-08488,C1979/08480-08488 002s081,UMU,,MUSKEL,,7.7,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"1,2,3,7,8-Pentaklordibenso-p-dioxin (1,2,3,7,8-PeCDD)",CH07/61,C1979/08480-08488,C1979/08480-08488 002s081,UMU,,MUSKEL,,9,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"1,2,3,4,7,8-Hexaklordibensofuran (1,2,3,4,7,8-HxCDF)",CH07/32,C1979/08480-08488,C1979/08480-08488 002s081,UMU,,MUSKEL,,6.4,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"1,2,3,6,7,8-Hexaklordibensofuran (1,2,3,6,7,8-HxCDF)",CH07/46,C1979/08480-08488,C1979/08480-08488 002s081,UMU,,MUSKEL,,5.1,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,3,4,6,7,8-Hexaklordibensofuran (2,3,4,6,7,8-HxCDF)",CH07/191,C1979/08480-08488,C1979/08480-08488 002s081,UMU,,MUSKEL,,1.3,<,pg.g-1.lv-1,q,1.3,,,,,Ja,,FRYST,,,,,,,
"1,2,3,7,8,9-Hexaklordibensofuran (1,2,3,7,8,9-HxCDF)",CH07/52,C1979/08480-08488,C1979/08480-08488 002s081,UMU,,MUSKEL,,1.3,<,pg.g-1.lv-1,q,1.3,,,,,Ja,,FRYST,,,,,,,
"1,2,3,4,7,8-Hexaklordibenso-p-dioxin (1,2,3,4,7,8-HxCDD)",CH07/33,C1979/08480-08488,C1979/08480-08488 002s081,UMU,,MUSKEL,,3.8,<,pg.g-1.lv-1,q,3.8,,,,,Ja,,FRYST,,,,,,,
"1,2,3,6,7,8-Hexaklordibenso-p-dioxin (1,2,3,6,7,8-HxCDD)",CH07/47,C1979/08480-08488,C1979/08480-08488 002s081,UMU,,MUSKEL,,3.8,<,pg.g-1.lv-1,q,3.8,,,,,Ja,,FRYST,,,,,,,
"1,2,3,7,8,9-Hexaklordibenso-p-dioxin (1,2,3,7,8,9-HxCDD)",CH07/53,C1979/08480-08488,C1979/08480-08488 002s081,UMU,,MUSKEL,,3.8,<,pg.g-1.lv-1,q,3.8,,,,,Ja,,FRYST,,,,,,,
"1,2,3,4,6,7,8-Heptaklordibensofuran (1,2,3,4,6,7,8-HpCDF)",CH07/22,C1979/08480-08488,C1979/08480-08488 002s081,UMU,,MUSKEL,,25.6,<,pg.g-1.lv-1,q,25.6,,,,,Ja,,FRYST,,,,,,,
